LOGRADOURO,LOT./CON,NOME DO LOTEAMENTO/BAIRRO/CONDOMINIO,UBS DE REFERENCIA,CEP
ALAMEDA CAYMAN,CONDOMÍNIO HORIZONTAL,TERRAS DO CARIBE,UBS SÃO MARCOS,13272850
ALAMEDA MARTINICA,CONDOMÍNIO HORIZONTAL,TERRAS DO CARIBE,UBS SÃO MARCOS,13272845
ALAMEDA MARGARITA,CONDOMÍNIO HORIZONTAL,TERRAS DO CARIBE,UBS SÃO MARCOS,13272846
ALAMEDA ST.MARTIN,CONDOMÍNIO HORIZONTAL,TERRAS DO CARIBE,UBS SÃO MARCOS,13272851
ALAMEDA GUADALUPE,CONDOMÍNIO HORIZONTAL,TERRAS DO CARIBE,UBS SÃO MARCOS,13272843
ALAMEDA JAMAICA,CONDOMÍNIO HORIZONTAL,TERRAS DO CARIBE,UBS SÃO MARCOS,13272849
ALAMEDA DOMINICA,CONDOMÍNIO HORIZONTAL,TERRAS DO CARIBE,UBS SÃO MARCOS,13272844
ALAMEDA ARUBA,CONDOMÍNIO HORIZONTAL,TERRAS DO CARIBE,UBS SÃO MARCOS,13272847
ALAMEDA CURACAO,CONDOMÍNIO HORIZONTAL,TERRAS DO CARIBE,UBS SÃO MARCOS,13272848
RUA CLAUDEMIRES DOS SANTOS,CONDOMÍNIO HORIZONTAL,TERRAS DO CARIBE,UBS SÃO MARCOS,13272821
ESTRADA LOURIVAL OLIVEIRA,CONDOMÍNIO HORIZONTAL,TERRAS DO CARIBE,UBS SÃO MARCOS,
AVENIDA ELZA BERLATO FERREIRA,CONDOMÍNIO HORIZONTAL,TERRAS DO CARIBE,UBS SÃO MARCOS,
AVENIDA COCA VISCARDI (ANTIGA AVENIDA "UM" DO JD. SÃO MARCOS),CONDOMÍNIO HORIZONTAL,TERRAS DO CARIBE,UBS SÃO MARCOS,13272838
ESTRADA MUNICIPAL,CONDOMÍNIO HORIZONTAL,TERRAS DO CARIBE,UBS SÃO MARCOS,13271770
RUA CARMEN LOURENCETTI BUENO,CONDOMÍNIO HORIZONTAL,TERRAS DO CARIBE,UBS SÃO MARCOS,13272815
AVENIDA COCA VISCARDI,CONDOMÍNIO HORIZONTAL,TERRAS DO CARIBE,UBS SÃO MARCOS,13272838
ALAMEDA DOS CAJUEIROS,LOTEAMENTO,PARQUE VALINHOS,UBS SÃO BENTO,13274702
ESTRADA LIGAÇÃO AO PQ. VALINHOS,LOTEAMENTO,PARQUE VALINHOS,UBS SÃO BENTO,
ALAMEDA DAS CARAMBOLEIRAS,LOTEAMENTO,PARQUE VALINHOS,UBS SÃO BENTO,13274703
 DAS MANGUEIRAS,LOTEAMENTO,PARQUE VALINHOS,UBS SÃO BENTO,13274711
 DOS JAMBEIROS,LOTEAMENTO,PARQUE VALINHOS,UBS SÃO BENTO,13274706
ALAMEDA DOS MAMOEIROS,LOTEAMENTO,PARQUE VALINHOS,UBS SÃO BENTO,13274713
ALAMEDA DAS LARANJEIRAS,LOTEAMENTO,PARQUE VALINHOS,UBS SÃO BENTO,13274707
ALAMEDA DAS PONKANS,LOTEAMENTO,PARQUE VALINHOS,UBS SÃO BENTO,13274720
ALAMEDA DAS MACIEIRAS,LOTEAMENTO,PARQUE VALINHOS,UBS SÃO BENTO,13274710
ALAMEDA DOS MARMELEIROS,LOTEAMENTO,PARQUE VALINHOS,UBS SÃO BENTO,13274712
ALAMEDA DAS BANANEIRAS,LOTEAMENTO,PARQUE VALINHOS,UBS SÃO BENTO,13274723
ALAMEDA DAS PITANGUEIRAS,LOTEAMENTO,PARQUE VALINHOS,UBS SÃO BENTO,13274718
ALAMEDA DOS CAQUIZEIROS,LOTEAMENTO,PARQUE VALINHOS,UBS SÃO BENTO,13274702
ALAMEDA DAS UVAS,LOTEAMENTO,PARQUE VALINHOS,UBS SÃO BENTO,13274722
ALAMEDA DAS PEREIRAS,LOTEAMENTO,PARQUE VALINHOS,UBS SÃO BENTO,13274715
ALAMEDA DOS PINUS,LOTEAMENTO,PARQUE VALINHOS,UBS SÃO BENTO,13274717
ALAMEDA DAS GOIABEIRAS,LOTEAMENTO,PARQUE VALINHOS,UBS SÃO BENTO,13274704
ALAMEDA DOS PESSEGUEIROS,LOTEAMENTO,PARQUE VALINHOS,UBS SÃO BENTO,13274716
ALAMEDA DAS ROMANZEIRAS,LOTEAMENTO,PARQUE VALINHOS,UBS SÃO BENTO,13274721
ALAMEDA DAS AMEIXEIRAS,LOTEAMENTO,PARQUE VALINHOS,UBS SÃO BENTO,13274701
ALAMEDA DOS LIMOEIROS,LOTEAMENTO,PARQUE VALINHOS,UBS SÃO BENTO,13274708
ALAMEDA DAS ABACATEIROS,LOTEAMENTO,PARQUE VALINHOS,UBS SÃO BENTO,13274700
ALAMEDA ITAUBA,,,UBS PINHEIROS,13278530
ALAMEDA ARAUCARIA,,,UBS PINHEIROS,
ALAMEDA EUCALIPTO,,,UBS PINHEIROS,
ALAMEDA JACARANDA,,,UBS PINHEIROS,
ALAMEDA CASSIA,,,UBS PINHEIROS,
ALAMEDA SIBIPIRUNA,,,UBS PINHEIROS,
RUA JOSE FIORIN,,,UBS PINHEIROS,13274380
ALAMEDA TIMBÓ,,,UBS PINHEIROS,
RUA LOURENCO FERRARI (PROLONG),,,UBS PINHEIROS,13273071
ALAMEDA CAMBUCI,,,UBS PINHEIROS,
RUA LUIZ SCHINCARIOL,,,UBS PINHEIROS,13274124
RUA DYONIZIO CAPOVILLA (BIJU),,,UBS PINHEIROS,13274560
RUA FRANCISCO BARBOSA,,,UBS PINHEIROS,13274114
RUA CAETANO BRANDINI,,,UBS PINHEIROS,13274470
RUA DIOGENES P. DE OLIVEIRA,,,UBS PINHEIROS,13274520
AVENIDA DR ALTINO GOUVEIA,,,UBS PINHEIROS,13274350
RUA PARANÁ,,,UBS PINHEIROS,13274190
AVENIDA 1 ALTO DOURO,,,UBS PINHEIROS,
RUA 4 ALTO DOURO,,,UBS PINHEIROS,
RUA PAULINA BRESSANIN FIORAVANTI,,,UBS PINHEIROS,
RUA 3 ALTO DOURO,,,UBS PINHEIROS,
RUA DRA. SIMONE DE MORAES GEBRAN LUCENTI,,,UBS PINHEIROS,
RUA 2 ALTO DOURO,,,UBS PINHEIROS,
RUA ALBERTO MELLO FIGUEIREDO,,,UBS PINHEIROS,13273081
RUA DAS AZALEAS (PROLONGAMENTO),,,UBS PINHEIROS,13273450
RUA MÁRIO VIEIRA BRAGA,,,UBS PINHEIROS,13274490
ESTRADA DA FONTE SONIA,,,UBS PINHEIROS,13274455
RUA ANTONIO BISSOTO,,,UBS PINHEIROS,13273096
RUA LUIZ DE FRANCA PINTO,,,UBS PINHEIROS,13273097
RUA DAS ACACIAS (PROLONGAMENTO),,,UBS PINHEIROS,13273017
RUA DAS ACACIAS,,,UBS PINHEIROS,13273017
RUA ALBERTO DE M. FIGUEIREDO (PROLONG),,,UBS PINHEIROS,13273081
RUA ALICE GARRIDO,,,UBS PINHEIROS,13273095
RUA VEREADOR WALTER OBMER WOELZKE,,,UBS PINHEIROS,13273060
RUA NIQUINHO AGESSE,,,UBS PINHEIROS,13274480
RUA ALVARO GOMES VILELA,,,UBS PINHEIROS,13274540
AVENIDA LINO BUZATTO,,,UBS PINHEIROS,13274440
RUA ARMANDO CONCON,,,UBS PINHEIROS,13274362
RUA FRANCISCO DE CASTRO JUNIOR,,,UBS PINHEIROS,13274460
RUA GUILHERME MAMPRIM,,,UBS PINHEIROS,13274450
RUA LOURENCO FERRARI,,,UBS PINHEIROS,13273071
RUA VICO LEVRERO (PROLONGAMENTO),,,UBS PINHEIROS,13273070
RUA OROZIMBO MAIA,,,UBS PINHEIROS,13274000
ALAMEDA TIPUANA,,,UBS PINHEIROS,
ALAMEDA SERINGUEIRA,,,UBS PINHEIROS,
ESTRADA DO JEQUITIBÁ,,,UBS PINHEIROS,13274468
ALAMEDA CASTANHEIRA,,,UBS PINHEIROS,
ALAMEDA YPE,,,UBS PINHEIROS,
ALAMEDA CEDRO,,,UBS PINHEIROS,
ALAMEDA MOGNO,,,UBS PINHEIROS,
ALAMEDA IMBUIA,,,UBS PINHEIROS,
RUA SALIM PEDRO,,,UBS PINHEIROS,13274580
ALAMEDA DAS PITANGUEIRAS,,,UBS PINHEIROS,13274718
RUA CARLOS ORMENESE,,,UBS PINHEIROS,13274570
RUA AMERICO BONETTO,,,UBS PINHEIROS,13274590
AVENIDA JEQUITIBA,,,UBS PINHEIROS,13272170
RUA ARMANDO PEDRO,,,UBS PINHEIROS,13274571
CAMINHO SERV A ANTONIO F FILHO,,,UBS PINHEIROS,
RUA RUBENS BARON,,,UBS PINHEIROS,13274530
ALAMEDA TAMBURÍ,,,UBS PINHEIROS,13272864
ALAMEDA FIGUEIRA,,,UBS PINHEIROS,13274725
ALAMEDA ACÁCIA,,,UBS PINHEIROS,
RUA ALEXANDRE H. MOLETTA,,,UBS PINHEIROS,13274340
RUA JOÃO DA SILVA MARTINS,,,UBS PINHEIROS,13274320
RUA ALAMEDAINO BARTHOLO,,,UBS PINHEIROS,13274370
RUA HYGINO GUILHERME COSTATO,,,UBS PINHEIROS,13274410
RUA PASCHOAL EVANGELISTA,,,UBS PINHEIROS,13274271
RUA HUMBERTO BISCARDI,,,UBS PINHEIROS,13274300
RUA LUIZ ANGELI,,,UBS PINHEIROS,13274400
RUA HORACIO AMARAL,,,UBS PINHEIROS,13274360
RUA HORÁCIO SALLES CUNHA,,,UBS PINHEIROS,13274280
RUA JOSÉ GUIRARDELLO,,,UBS PINHEIROS,13274330
AVENIDA DOS ESTADOS,,,UBS PINHEIROS,13274170
RUA DOMINGOS AGNELLO,,,UBS PINHEIROS,13274430
RUA ANTÔNIO FACHINELLI FILHO,,,UBS PINHEIROS,13275360
RUA LUIZ BISSOTTO,,,UBS PINHEIROS,13275110
RUA MARTINHO CALSAVARA,,,UBS PINHEIROS,13274390
RUA JOAQUIM DA SILVA MOREIRA,,,UBS PINHEIROS,13274310
RUA HUMBERTO BARBIN,,,UBS PINHEIROS,13273010
AVENIDA JOÃO ANTUNES DOS SANTOS,,,UBS PINHEIROS,13274290
RODOVIA FLÁVIO DE CARVALHO,,,UBS PINHEIROS,13273000
RUA VER. FERNANDO SPADACCIA,,,UBS PINHEIROS,13273062
RUA SONIA FABRINI WOELZKE,,,UBS PINHEIROS,13274275
RUA OLAVO ANTONIO,,,UBS PINHEIROS,13274451
RUA ALVARO MARTINI,,,UBS PINHEIROS,13274500
ALAMEDA CABIUNA,,,UBS PINHEIROS,13278401
ALAMEDA CEREJEIRA,,,UBS PINHEIROS,
ALAMEDA JATOBÁ,,,UBS PINHEIROS,
RUA MARIA DORIGON ANGELI,,,UBS PINHEIROS,13273633
RUA ANA SABIE,,,UBS PINHEIROS,13274510
ESTRADA MUNICIPAL À CHÁCARA ALPINAS,,,UBS PINHEIROS,
ALAMEDA PEROBA,,,UBS PINHEIROS,
RUA ALEXANDRE H. MOLETTA�,,,UBS PINHEIROS,13274340
RUA MARIA FONSECA CARVALHO,,,UBS PINHEIROS,13274420
RUA ANTONIO TASSI,,,UBS PINHEIROS,13273020
RUA LUCIA AP. ROVERE D'AVILA,,,UBS PINHEIROS,13273064
RUA LUIZ CONTE,,,UBS PINHEIROS,13274432
RUA JOSE MARIGHETO,,,UBS PINHEIROS,13274431
RUA JOSE UNGARETTI,,,UBS PINHEIROS,13274441
RUA EZEQUIEL BENEDITO SILVA,,,UBS PINHEIROS,13274611
RUA ANTONIO BERGAMO,,,UBS PINHEIROS,13274442
RUA PASCHOAL VALENTE,,,UBS PINHEIROS,13274261
ALAMEDA AÇAÍ,,,UBS PINHEIROS,
ALAMEDA BURITÍ,,,UBS PINHEIROS,
ALAMEDA EMBAÚBA,,,UBS PINHEIROS,13274464
ALAMEDA QUARESMEIRA,,,UBS PINHEIROS,
ALAMEDA PAU BRASIL,,,UBS PINHEIROS,
RUA NORBERTO FRANCISCO CÔCO,,,UBS PINHEIROS,13274581
ALAMEDA PAINEIRA,,,UBS PINHEIROS,
ALAMEDA SAPUCAIA,,,UBS PINHEIROS,
ALAMEDA IPÊ,,,UBS PINHEIROS,
ALAMEDA JACARANDÁ,,,UBS PINHEIROS,
RUA ALEXANDRE HUMBERTO MOLETTA,,,UBS PINHEIROS,13274340
ALAMEDA PEQUÍ,,,UBS PINHEIROS,
RUA HELENA PAVAN BARDUCHI,,,UBS PINHEIROS,13274112
RUA PAULO BERGAMASCO,,,UBS PINHEIROS,13274531
RUA BARCELOS,,,UBS PORTUGAL,13273275
RUA LILITA ABREU SALLES,,,UBS PORTUGAL,13273173
RUA LILIA CASTRO PRADO ABREU,,,UBS PORTUGAL,13273171
VIA MARGINAL ANTONIO PEDRO DIAS,,,UBS PORTUGAL,
RODOVIA DOM PEDRO I,,,UBS PORTUGAL,13273292
RODOVIA DOS AGRICULTORES,,,UBS PORTUGAL,13273250
RUA PASTOR OSVALDO CECCON,,,UBS PORTUGAL,13273286
RUA ESTORIL,,,UBS PORTUGAL,13273260
RUA VINHAIS,,,UBS PORTUGAL,13273274
RUA BEJA,,,UBS PORTUGAL,13273268
RUA SANTARÉM,,,UBS PORTUGAL,13273266
RUA BRAGA,,,UBS PORTUGAL,13273271
RUA LEIRIA,,,UBS PORTUGAL,13273281
RUA TEJO,,,UBS PORTUGAL,13273283
RUA CARAVELAS,,,UBS PORTUGAL,13273284
RUA DO FADO,,,UBS PORTUGAL,13273269
RUA ALGARVE,,,UBS PORTUGAL,13273261
RUA PORTO,,,UBS PORTUGAL,13273263
RUA FÁTIMA,,,UBS PORTUGAL,13273264
RUA MIRANDELA,,,UBS PORTUGAL,13273276
RUA EVORA,,,UBS PORTUGAL,13273267
RUA ABRANTES,,,UBS PORTUGAL,13273282
RUA VILA REAL,,,UBS PORTUGAL,13273278
